movieId,title,imdbId,tmdbId
72,Kicking and Screaming (1995),113537,28387
73,"Mis??rables, Les (1995)",113828,48750
74,Bed of Roses (1996),115644,20927
75,Big Bully (1996),115676,36929
76,Screamers (1995),114367,9102
77,Nico Icon (1995),113973,124626
78,"Crossing Guard, The (1995)",112744,27526
79,"Juror, The (1996)",116731,9623
80,"White Balloon, The (Badkonake sefid) (1995)",112445,46785
81,Things to Do in Denver When You're Dead (1995),114660,400
82,Antonia's Line (Antonia) (1995),112379,880
83,Once Upon a Time... When We Were Colored (1995),114039,146599
85,Angels and Insects (1995),112365,8447
86,White Squall (1996),118158,10534
87,Dunston Checks In (1996),116151,17414
88,Black Sheep (1996),115697,13997
89,Nick of Time (1995),113972,2086
92,Mary Reilly (1996),117002,9095
93,Vampire in Brooklyn (1995),114825,12158
94,Beautiful Girls (1996),115639,9283
95,Broken Arrow (1996),115759,9208
96,In the Bleak Midwinter (1995),113403,40154
97,"Hate (Haine, La) (1995)",113247,406
99,Heidi Fleiss: Hollywood Madam (1995),113283,63076
100,City Hall (1996),115907,11062
101,Bottle Rocket (1996),115734,13685
102,Mr. Wrong (1996),117102,47475
103,Unforgettable (1996),118040,2045
104,Happy Gilmore (1996),116483,9614
105,"Bridges of Madison County, The (1995)",112579,688
106,Nobody Loves Me (Keiner liebt mich) (1994),110251,11907
107,Muppet Treasure Island (1996),117110,10874
108,Catwalk (1996),112646,89333
110,Braveheart (1995),112573,197
111,Taxi Driver (1976),75314,103
112,Rumble in the Bronx (Hont faan kui) (1995),113326,33542
113,Before and After (1996),115645,43566
116,Anne Frank Remembered (1995),112373,51352
117,"Young Poisoner's Handbook, The (1995)",115033,16934
118,If Lucy Fell (1996),116606,10324
119,"Steal Big, Steal Little (1995)",114536,78406
121,"Boys of St. Vincent, The (1992)",106473,32119
122,Boomerang (1992),103859,11066
123,Chungking Express (Chung Hing sam lam) (1994),109424,11104
125,Flirting With Disaster (1996),116324,2074
126,"NeverEnding Story III, The (1994)",110647,27793
128,Jupiter's Wife (1994),110217,290157
129,Pie in the Sky (1996),114131,110972
132,Jade (1995),113451,11863
135,Down Periscope (1996),116130,9101
137,Man of the Year (1995),113756,5757
140,Up Close and Personal (1996),118055,9302
141,"Birdcage, The (1996)",115685,11000
144,"Brothers McMullen, The (1995)",112585,16388
145,Bad Boys (1995),112442,9737
146,"Amazing Panda Adventure, The (1995)",112342,30765
147,"Basketball Diaries, The (1995)",112461,10474
148,"Awfully Big Adventure, An (1995)",112427,22279
149,Amateur (1994),109093,30157
150,Apollo 13 (1995),112384,568
151,Rob Roy (1995),114287,11780
152,"Addiction, The (1995)",112288,34996
153,Batman Forever (1995),112462,414
154,Beauty of the Day (Belle de jour) (1967),61395,649
155,Beyond Rangoon (1995),112495,1873
156,Blue in the Face (1995),112541,5894
157,Canadian Bacon (1995),109370,1775
158,Casper (1995),112642,8839
159,Clockers (1995),112688,20649
160,Congo (1995),112715,10329
161,Crimson Tide (1995),112740,8963
162,Crumb (1994),109508,26564
163,Desperado (1995),112851,8068
164,Devil in a Blue Dress (1995),112857,8512
165,Die Hard: With a Vengeance (1995),112864,1572
166,"Doom Generation, The (1995)",112887,13552
168,First Knight (1995),113071,6520
169,Free Willy 2: The Adventure Home (1995),113114,9073
170,Hackers (1995),113243,10428
171,Jeffrey (1995),113464,17447
172,Johnny Mnemonic (1995),113481,9886
173,Judge Dredd (1995),113492,9482
174,Jury Duty (1995),113500,19326
175,Kids (1995),113540,9344
176,Living in Oblivion (1995),113677,9071
177,Lord of Illusions (1995),113690,8973
178,Love & Human Remains (1993),107447,15730
179,Mad Love (1995),113729,47608
180,Mallrats (1995),113749,2293
181,Mighty Morphin Power Rangers: The Movie (1995),113820,9070
183,Mute Witness (1994),110604,48787
184,Nadja (1994),110620,34574
185,"Net, The (1995)",113957,1642
186,Nine Months (1995),113986,11472
187,Party Girl (1995),114095,36196
188,"Prophecy, The (1995)",114194,11980
189,Reckless (1995),114241,58372
190,Safe (1995),114323,32646
191,"Scarlet Letter, The (1995)",114345,10533
193,Showgirls (1995),114436,10802
194,Smoke (1995),114478,10149
195,Something to Talk About (1995),114496,18402
196,Species (1995),114508,9348
198,Strange Days (1995),114558,281
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",58450,5967
201,Three Wishes (1995),114663,47939
202,Total Eclipse (1995),114702,36834
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",114682,9090
204,Under Siege 2: Dark Territory (1995),114781,3512
205,Unstrung Heroes (1995),114798,52856
206,Unzipped (1995),114805,77350
207,"Walk in the Clouds, A (1995)",114887,9560
208,Waterworld (1995),114898,9804
209,White Man's Burden (1995),114928,31611
210,Wild Bill (1995),114938,65796
211,"Browning Version, The (1994)",109340,49805
212,Bushwhacked (1995),112602,26258
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),111579,50797
214,Before the Rain (Pred dozhdot) (1994),110882,19155
215,Before Sunrise (1995),112471,76
216,Billy Madison (1995),112508,11017
217,"Babysitter, The (1995)",112438,37141
218,Boys on the Side (1995),112571,9382
219,"Cure, The (1995)",112757,6715
220,Castle Freak (1995),112643,18256
222,Circle of Friends (1995),112679,22625
223,Clerks (1994),109445,2292
224,Don Juan DeMarco (1995),112883,1909
225,Disclosure (1994),109635,8984
227,Drop Zone (1994),109676,4954
228,Destiny Turns on the Radio (1995),112854,62488
229,Death and the Maiden (1994),109579,10531
230,Dolores Claiborne (1995),109642,11929
231,Dumb & Dumber (Dumb and Dumber) (1994),109686,8467
232,Eat Drink Man Woman (Yin shi nan nu) (1994),111797,10451
233,Exotica (1994),109759,20156
234,Exit to Eden (1994),109758,18395
235,Ed Wood (1994),109707,522
236,French Kiss (1995),113117,397
237,Forget Paris (1995),113097,10525
238,Far From Home: The Adventures of Yellow Dog (1995),113028,27985
239,"Goofy Movie, A (1995)",113198,15789
240,Hideaway (1995),113303,27303
241,Fluke (1995),113089,21183
242,Farinelli: il castrato (1994),109771,10954
243,Gordy (1995),113199,47867
246,Hoop Dreams (1994),110057,14275
247,Heavenly Creatures (1994),110005,1024
248,Houseguest (1994),110066,17207
249,Immortal Beloved (1994),110116,13701
250,Heavyweights (Heavy Weights) (1995),110006,14819
251,"Hunted, The (1995)",113360,32631
252,I.Q. (1994),110099,11777
253,Interview with the Vampire: The Vampire Chronicles (1994),110148,628
254,Jefferson in Paris (1995),113463,87729
255,"Jerky Boys, The (1995)",110189,18713
256,Junior (1994),110216,6280
257,Just Cause (1995),113501,9061
258,"Kid in King Arthur's Court, A (1995)",113538,37108
259,Kiss of Death (1995),113552,6071
260,Star Wars: Episode IV - A New Hope (1977),76759,11
261,Little Women (1994),110367,9587
262,"Little Princess, A (1995)",113670,19101
263,Ladybird Ladybird (1994),110296,49980
265,Like Water for Chocolate (Como agua para chocolate) (1992),103994,18183
266,Legends of the Fall (1994),110322,4476
267,Major Payne (1995),110443,11008
269,My Crazy Life (Mi vida loca) (1993),107566,32325
270,Love Affair (1994),110391,43742
271,Losing Isaiah (1995),113691,28313
272,"Madness of King George, The (1994)",110428,11318
273,Mary Shelley's Frankenstein (Frankenstein) (1994),109836,3036
274,Man of the House (1995),113755,40490
275,Mixed Nuts (1994),110538,24070
276,Milk Money (1994),110516,8986
277,Miracle on 34th Street (1994),110527,10510
278,Miami Rhapsody (1995),113808,17402
279,My Family (1995),113896,38722
280,Murder in the First (1995),113870,8438
281,Nobody's Fool (1994),110684,11593
282,Nell (1994),110638,1945
283,New Jersey Drive (1995),113967,39310
284,New York Cop (Ny?? Y??ku no koppu) (1993),117169,109560
285,Beyond Bedlam (1993),106402,56428
287,Nina Takes a Lover (1994),110671,131957
288,Natural Born Killers (1994),110632,241
289,Only You (1994),110737,9058
290,Once Were Warriors (1994),110729,527
291,Poison Ivy II (1996),114151,18220
292,Outbreak (1995),114069,6950
293,L??on: The Professional (a.k.a. The Professional) (L??on) (1994),110413,101
294,"Perez Family, The (1995)",114113,63020
295,"Pyromaniac's Love Story, A (1995)",114210,2307
296,Pulp Fiction (1994),110912,680
298,Pushing Hands (Tui shou) (1992),105652,25296
299,Priest (1994),110889,40156
300,Quiz Show (1994),110932,11450
301,Picture Bride (Bijo photo) (1994),114129,30304
302,"Queen Margot (Reine Margot, La) (1994)",110963,10452
303,"Quick and the Dead, The (1995)",114214,12106
304,Roommates (1995),114296,161495
305,Ready to Wear (Pret-A-Porter) (1994),110907,3586
306,Three Colors: Red (Trois couleurs: Rouge) (1994),111495,110
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),108394,108
308,Three Colors: White (Trzy kolory: Bialy) (1994),111507,109
310,Rent-a-Kid (1995),114268,36357
311,Relative Fear (1994),110965,92769
312,Stuart Saves His Family (1995),114571,28033
313,"Swan Princess, The (1994)",111333,22586
314,"Secret of Roan Inish, The (1994)",111112,14334
315,"Specialist, The (1994)",111255,2636
316,Stargate (1994),111282,2164
317,"Santa Clause, The (1994)",111070,11395
318,"Shawshank Redemption, The (1994)",111161,278
319,Shallow Grave (1994),111149,9905
320,Suture (1993),108260,87078
321,Strawberry and Chocolate (Fresa y chocolate) (1993),106966,12527
322,Swimming with Sharks (1995),114594,20306
324,"Sum of Us, The (1994)",111309,36614
325,National Lampoon's Senior Trip (1995),113936,27993
326,To Live (Huozhe) (1994),110081,31439
327,Tank Girl (1995),114614,9067
328,Tales from the Crypt Presents: Demon Knight (1995),114608,9059
329,Star Trek: Generations (1994),111280,193
330,Tales from the Hood (1995),114609,25066
331,Tom & Viv (1994),111454,46797
332,Village of the Damned (1995),114852,12122
333,Tommy Boy (1995),114694,11381
334,Vanya on 42nd Street (1994),111590,32636
335,Underneath (1995),114788,36141
336,"Walking Dead, The (1995)",114888,95963
337,What's Eating Gilbert Grape (1993),108550,1587
338,Virtuosity (1995),114857,9271
339,While You Were Sleeping (1995),114924,2064
340,"War, The (1994)",111667,19855
341,Double Happiness (1994),109655,60855
342,Muriel's Wedding (1994),110598,236
343,"Baby-Sitters Club, The (1995)",112435,48287
344,Ace Ventura: Pet Detective (1994),109040,3049
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",109045,2759
346,Backbeat (1993),106339,12635
347,Bitter Moon (1992),104779,10497
348,Bullets Over Broadway (1994),109348,11382
349,Clear and Present Danger (1994),109444,9331
350,"Client, The (1994)",109446,10731
351,"Corrina, Corrina (1994)",109484,10464
352,Crooklyn (1994),109504,34152
353,"Crow, The (1994)",109506,9495
354,Cobb (1994),109450,29973
355,"Flintstones, The (1994)",109813,888
356,Forrest Gump (1994),109830,13
357,Four Weddings and a Funeral (1994),109831,712
358,Higher Learning (1995),113305,16295
359,I Like It Like That (1994),110091,48992
360,I Love Trouble (1994),110093,10879
361,It Could Happen to You (1994),110167,10660
362,"Jungle Book, The (1994)",110213,10714
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",107472,41647
364,"Lion King, The (1994)",110357,8587
365,Little Buddha (1993),107426,1689
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",111686,11596
367,"Mask, The (1994)",110475,854
368,Maverick (1994),110478,9359
369,Mrs. Parker and the Vicious Circle (1994),110588,23333
370,Naked Gun 33 1/3: The Final Insult (1994),110622,36593
371,"Paper, The (1994)",110771,12280
372,Reality Bites (1994),110950,2788
373,Red Rock West (1992),105226,10427
374,Richie Rich (1994),110989,11011
376,"River Wild, The (1994)",110997,8987
377,Speed (1994),111257,1637
378,Speechless (1994),111256,15128
379,Timecop (1994),111438,8831
380,True Lies (1994),111503,36955
381,When a Man Loves a Woman (1994),111693,10449
382,Wolf (1994),111742,10395
383,Wyatt Earp (1994),111756,12160
384,Bad Company (1995),112443,40480
385,"Man of No Importance, A (1994)",110455,52038
386,S.F.W. (1994),111048,29444
387,"Low Down Dirty Shame, A (1994)",110399,26352
388,Boys Life (1995),112570,39953
389,"Colonel Chabert, Le (1994)",109454,41580
390,Faster Pussycat! Kill! Kill! (1965),59170,315
391,Jason's Lyric (1994),110186,22067
393,Street Fighter (1994),111301,11667
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),110027,8011
406,Federal Hill (1994),109785,171857
407,In the Mouth of Madness (1995),113409,2654
408,8 Seconds (1994),109021,18069
409,Above the Rim (1994),109035,19092
410,Addams Family Values (1993),106220,2758
412,"Age of Innocence, The (1993)",106226,10436
413,Airheads (1994),109068,13595
414,"Air Up There, The (1994)",109067,46094
415,Another Stakeout (1993),106292,9409
416,Bad Girls (1994),109198,11853
417,Barcelona (1994),109219,16771
418,Being Human (1993),106379,46924
419,"Beverly Hillbillies, The (1993)",106400,11041
420,Beverly Hills Cop III (1994),109254,306
421,Black Beauty (1994),109279,14522
422,Blink (1994),109297,26203
423,Blown Away (1994),109303,178
424,Blue Chips (1994),109305,19819
425,Blue Sky (1994),109306,57834
426,Body Snatchers (1993),106452,4722
427,Boxing Helena (1993),106471,18215
428,"Bronx Tale, A (1993)",106489,1607
429,Cabin Boy (1994),109361,26391
430,Calendar Girl (1993),106505,117553
431,Carlito's Way (1993),106519,6075
432,City Slickers II: The Legend of Curly's Gold (1994),109439,11310
433,Clean Slate (1994),109443,18658
434,Cliffhanger (1993),106582,9350
435,Coneheads (1993),106598,9612
436,Color of Night (1994),109456,2124
437,Cops and Robbersons (1994),109480,26261
438,"Cowboy Way, The (1994)",109493,19176
440,Dave (1993),106673,11566
441,Dazed and Confused (1993),106677,9571
442,Demolition Man (1993),106697,9739
444,Even Cowgirls Get the Blues (1993),106834,34444
445,Fatal Instinct (1993),106873,26141
446,Farewell My Concubine (Ba wang bie ji) (1993),106332,10997
448,Fearless (1993),106881,10443
449,Fear of a Black Hat (1994),106880,20239
450,With Honors (1994),111732,16297
451,Flesh and Bone (1993),106926,18551
452,Widows' Peak (1994),111712,25440
453,For Love or Money (1993),106941,9024
454,"Firm, The (1993)",106918,37233
455,Free Willy (1993),106965,1634
456,Fresh (1994),109842,13815
457,"Fugitive, The (1993)",106977,5503
458,Geronimo: An American Legend (1993),107004,35588
459,"Getaway, The (1994)",109890,2087
460,Getting Even with Dad (1994),109891,41579
461,Go Fish (1994),109913,18620
464,Hard Target (1993),107076,2019
466,Hot Shots! Part Deux (1993),107144,9255
467,Live Nude Girls (1995),113674,26271
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",112966,10612
469,"House of the Spirits, The (1993)",107151,2259
470,House Party 3 (1994),110064,16097
471,"Hudsucker Proxy, The (1994)",110074,11934
472,I'll Do Anything (1994),110097,106143
473,In the Army Now (1994),110123,12475
474,In the Line of Fire (1993),107206,9386
475,In the Name of the Father (1993),107207,7984
476,"Inkwell, The (1994)",110137,59930
477,What's Love Got to Do with It? (1993),108551,15765
478,Jimmy Hollywood (1994),110197,31643
479,Judgment Night (1993),107286,6
480,Jurassic Park (1993),107290,329
481,Kalifornia (1993),107302,10909
482,Killing Zoe (1994),110265,507
484,Lassie (1994),110305,29918
485,Last Action Hero (1993),107362,9593
486,Life with Mikey (1993),107413,42580
487,Lightning Jack (1994),110353,22317
488,M. Butterfly (1993),107468,1413
489,Made in America (1993),107478,12121
490,Malice (1993),107497,2246
491,"Man Without a Face, The (1993)",107501,10502
492,Manhattan Murder Mystery (1993),107507,10440
493,Menace II Society (1993),107554,9516
494,Executive Decision (1996),116253,2320
495,In the Realm of the Senses (Ai no corrida) (1976),74102,5879
496,What Happened Was... (1994),111689,83718
497,Much Ado About Nothing (1993),107616,11971
499,Mr. Wonderful (1993),107613,31911
500,Mrs. Doubtfire (1993),107614,788
501,Naked (1993),107653,21450
502,"Next Karate Kid, The (1994)",110657,11231
504,No Escape (1994),110678,10447
505,North (1994),110687,31586
506,Orlando (1992),107756,9300
507,"Perfect World, A (1993)",107808,9559
508,Philadelphia (1993),107818,9800
509,"Piano, The (1993)",107822,713
510,Poetic Justice (1993),107840,8291
511,"Program, The (1993)",107889,18133
512,"Puppet Masters, The (1994)",111003,25557
513,Radioland Murders (1994),110939,22588
514,"Ref, The (1994)",110955,10872
515,"Remains of the Day, The (1993)",107943,1245
516,Renaissance Man (1994),110971,11858
517,Rising Sun (1993),107969,7007
518,"Road to Wellville, The (1994)",111001,10467
519,RoboCop 3 (1993),107978,5550
520,Robin Hood: Men in Tights (1993),107977,8005
521,Romeo Is Bleeding (1993),107983,2088
522,Romper Stomper (1992),105275,10412
523,Ruby in Paradise (1993),108000,47889
524,Rudy (1993),108002,14534
526,"Savage Nights (Nuits fauves, Les) (1992)",105032,41878
527,Schindler's List (1993),108052,424
528,"Scout, The (1994)",111094,35233
529,Searching for Bobby Fischer (1993),108065,14291
531,"Secret Garden, The (1993)",108071,11236
532,Serial Mom (1994),111127,11592
533,"Shadow, The (1994)",111143,8850
534,Shadowlands (1993),108101,10445
535,Short Cuts (1993),108122,695
536,"Simple Twist of Fate, A (1994)",111194,43535
537,Sirens (1994),111201,12519
538,Six Degrees of Separation (1993),108149,23210
539,Sleepless in Seattle (1993),108160,858
540,Sliver (1993),108162,867
541,Blade Runner (1982),83658,78
542,Son in Law (1993),108186,13203
543,So I Married an Axe Murderer (1993),108174,10442
544,Striking Distance (1993),108238,11074
546,Super Mario Bros. (1993),108255,9607
547,Surviving the Game (1994),111323,17585
548,Terminal Velocity (1994),111400,9057
549,Thirty-Two Short Films About Glenn Gould (1993),108328,20967
550,Threesome (1994),111418,10635
551,"Nightmare Before Christmas, The (1993)",107688,9479
552,"Three Musketeers, The (1993)",108333,10057
553,Tombstone (1993),108358,11969
555,True Romance (1993),108399,319
556,"War Room, The (1993)",108515,26408
558,"Pagemaster, The (1994)",110763,15139
562,Welcome to the Dollhouse (1995),114906,11446
563,Germinal (1993),107002,51980
564,Chasers (1994),109403,24405
567,Kika (1993),107315,8223
568,Bhaji on the Beach (1993),106408,14587
569,Little Big League (1994),110363,31504
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",107225,23637
574,Spanking the Monkey (1994),111252,17600
575,"Little Rascals, The (1994)",110366,10897
577,Andre (1994),109120,21352
579,"Escort, The (Scorta, La) (1993)",108059,68806
580,Princess Caraboo (1994),110892,37345
581,"Celluloid Closet, The (1995)",112651,32562
583,Dear Diary (Caro Diario) (1994),109382,25403
585,"Brady Bunch Movie, The (1995)",112572,9066
586,Home Alone (1990),99785,771
587,Ghost (1990),99653,251
588,Aladdin (1992),103639,812
589,Terminator 2: Judgment Day (1991),103064,280
590,Dances with Wolves (1990),99348,581
592,Batman (1989),96895,268
593,"Silence of the Lambs, The (1991)",102926,274
594,Snow White and the Seven Dwarfs (1937),29583,408
595,Beauty and the Beast (1991),101414,10020
596,Pinocchio (1940),32910,10895
597,Pretty Woman (1990),100405,114
599,"Wild Bunch, The (1969)",65214,576
600,Love and a .45 (1994),110395,15477
602,"Great Day in Harlem, A (1994)",109934,124472
605,One Fine Day (1996),117247,7300
606,Candyman: Farewell to the Flesh (1995),112625,10824
608,Fargo (1996),116282,275
609,Homeward Bound II: Lost in San Francisco (1996),116552,25059
610,Heavy Metal (1981),82509,11827
611,Hellraiser: Bloodline (1996),116514,8766
612,"Pallbearer, The (1996)",117283,23570
613,Jane Eyre (1996),116684,47333
615,Bread and Chocolate (Pane e cioccolata) (1973),70506,51242
616,"Aristocats, The (1970)",65421,10112
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",113083,4307
618,Two Much (1995),118001,46029
619,Ed (1996),116165,32308
626,"Thin Line Between Love and Hate, A (1996)",117891,28121
627,"Last Supper, The (1995)",113613,12520
628,Primal Fear (1996),117381,1592
631,All Dogs Go to Heaven 2 (1996),115509,19042
632,Land and Freedom (Tierra y libertad) (1995),114671,38884
633,Denise Calls Up (1995),112844,47449
634,Theodore Rex (1995),114658,36259
635,"Family Thing, A (1996)",116275,41852
636,Frisk (1995),113122,40926
637,Sgt. Bilko (1996),117608,9099
638,Jack and Sarah (1995),113448,2021
639,Girl 6 (1996),116414,61752
640,Diabolique (1996),116095,10988
645,Nelly & Monsieur Arnaud (1995),113947,12652
647,Courage Under Fire (1996),115956,10684
648,Mission: Impossible (1996),117060,954
649,Cold Fever (?? k??ldum klaka) (1995),109028,68445
650,Moll Flanders (1996),117071,18989
653,Dragonheart (1996),116136,8840
656,Eddie (1996),116168,11107
661,James and the Giant Peach (1996),116683,10539
662,Fear (1996),116287,10543
663,Kids in the Hall: Brain Candy (1996),116768,18414
665,Underground (1995),114787,11902
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),112536,25087
668,Song of the Little Road (Pather Panchali) (1955),48473,5801
670,"World of Apu, The (Apur Sansar) (1959)",52572,896
671,Mystery Science Theater 3000: The Movie (1996),117128,3065
673,Space Jam (1996),117705,2300
674,Barbarella (1968),62711,8069
678,Some Folks Call It a Sling Blade (1993),108181,27768
679,"Run of the Country, The (1995)",114307,221917
680,"Alphaville (Alphaville, une ??trange aventure de Lemmy Caution) (1965)",58898,8072
685,It's My Party (1996),113443,33245
688,Operation Dumbo Drop (1995),114048,27281
691,Mrs. Winterbourne (1996),117104,40001
692,Solo (1996),117688,29621
694,"Substitute, The (1996)",117774,20762
695,True Crime (1996),114736,37144
697,Feeling Minnesota (1996),116289,12656
698,Delta of Venus (1995),109593,38867
700,Angus (1995),112368,25969
703,Boys (1996),115742,43634
704,"Quest, The (1996)",117420,9103
706,Sunset Park (1996),117784,29649
707,Mulholland Falls (1996),117107,10990
708,"Truth About Cats & Dogs, The (1996)",117979,8866
709,Oliver & Company (1988),95776,12233
710,Celtic Pride (1996),115851,23449
711,Flipper (1996),116322,36355
714,Dead Man (1995),112817,922
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",113362,11876
718,"Visitors, The (Visiteurs, Les) (1993)",108500,11687
719,Multiplicity (1996),117108,9304
720,Wallace & Gromit: The Best of Aardman Animation (1996),118114,503475
722,"Haunted World of Edward D. Wood Jr., The (1996)",113270,73183
724,"Craft, The (1996)",115963,9100
725,"Great White Hype, The (1996)",116448,20759
726,Last Dance (1996),116827,46063
728,Cold Comfort Farm (1995),112701,32513
731,Heaven's Prisoners (1996),116508,36915
733,"Rock, The (1996)",117500,9802
735,Cemetery Man (Dellamorte Dellamore) (1994),109592,21588
736,Twister (1996),117998,664
737,Barb Wire (1996),115624,11867
741,Ghost in the Shell (K??kaku kid??tai) (1995),113568,9323
742,Thinner (1996),117894,10280
743,Spy Hard (1996),117723,10535
745,Wallace & Gromit: A Close Shave (1995),112691,532
747,"Stupids, The (1996)",117768,16299
748,"Arrival, The (1996)",115571,10547
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),57012,935
757,Ashes of Time (Dung che sai duk) (1994),109688,40751
759,Maya Lin: A Strong Clear Vision (1994),110480,85778
760,Stalingrad (1993),108211,11101
761,"Phantom, The (1996)",117331,9826
762,Striptease (1996),117765,9879
764,Heavy (1995),113280,22621
765,Jack (1996),116669,7095
766,I Shot Andy Warhol (1996),116594,26890
773,Touki Bouki (1973),70820,77771
775,Spirits of the Dead (1968),63715,41225
778,Trainspotting (1996),117951,627
779,'Til There Was You (1997),118523,32872
780,Independence Day (a.k.a. ID4) (1996),116629,602
781,Stealing Beauty (1996),117737,14553
782,"Fan, The (1996)",116277,9566
783,"Hunchback of Notre Dame, The (1996)",116583,10545
784,"Cable Guy, The (1996)",115798,9894
785,Kingpin (1996),116778,11543
786,Eraser (1996),116213,9268
788,"Nutty Professor, The (1996)",117218,9327
790,"Unforgettable Summer, An (Un ??t?? inoubliable) (1994)",111546,81949
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",113610,
795,Somebody to Love (1994),111237,44535
798,Daylight (1996),116040,11228
799,"Frighteners, The (1996)",116365,10779
800,Lone Star (1996),116905,26748
801,Harriet the Spy (1996),116493,38223
802,Phenomenon (1996),117333,9294
803,Walking and Talking (1996),118113,49963
804,She's the One (1996),117628,11363
805,"Time to Kill, A (1996)",117913,1645
806,American Buffalo (1996),115530,31546
808,Alaska (1996),115493,36344
809,Fled (1996),116320,18550
810,Kazaam (1996),116756,11511
813,Larger Than Life (1996),116823,34170
818,"Very Brady Sequel, A (1996)",118073,12606
823,"Collector, The (La collectionneuse) (1967)",61495,4837
824,Kaspar Hauser (1993),110246,12632
828,"Adventures of Pinocchio, The (1996)",115472,18975
829,Joe's Apartment (1996),116707,11962
830,"First Wives Club, The (1996)",116313,2925
832,Ransom (1996),117438,3595
833,High School High (1996),116531,9308
835,Foxfire (1996),116353,18555
836,Chain Reaction (1996),115857,12123
837,Matilda (1996),117008,10830
838,Emma (1996),116191,3573
839,"Crow: City of Angels, The (1996)",115986,10546
840,House Arrest (1996),116571,18862
841,"Eyes Without a Face (Yeux sans visage, Les) (1959)",53459,31417
842,Tales from the Crypt Presents: Bordello of Blood (1996),117826,9431
848,"Spitfire Grill, The (1996)",117718,47907
849,Escape from L.A. (1996),116225,10061
851,Basquiat (1996),115632,549
852,Tin Cup (1996),117918,10478
858,"Godfather, The (1972)",68646,238
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),104558,11134
